myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.996	3.23653464828313	0.992	5.71143656636719	1	0.105	Ast_224	MSTRG.2210
0.994	3.71851249613468	0.988	6.26952150407469	1	0.099	Ast_224	MSTRG.8137
0.994	2.94346765529033	0.988	6.34919725054345	1	0.03	Ast_224	MSTRG.5737
0.964	2.5441685645149	0.928	3.76687760982424	1	0.544	Ast_224	MSTRG.17906
0.952	2.0320657170946	0.904	3.12683534456824	1	0.168	Ast_224	MSTRG.6189
0.948	3.16776517481184	0.896	5.33543816245398	0.917	0.093	Ast_224	MSTRG.871
0.942	3.91601258658782	0.884	6.76839073835104	0.917	0.076	Ast_224	MSTRG.8364
0.938	1.55980168706955	0.876	2.31714886020253	1	0.287	Ast_224	MSTRG.7939
0.931	1.99785848486188	0.862	3.05856922086598	1	0.296	Ast_224	MSTRG.11707
0.926	2.38727317114079	0.852	4.10408476902851	0.917	0.189	Ast_224	MSTRG.15016
0.926	1.9312337345731	0.852	3.01402274302175	1	0.151	Ast_224	MSTRG.12744
0.926	1.81463972731546	0.852	2.70960350975243	1	0.457	Ast_224	MSTRG.7309
0.924	2.23357867182267	0.848	4.34512697703389	0.917	0.127	Ast_224	MSTRG.16249
0.919	1.81125668447518	0.838	3.13748295711054	0.917	0.115	Ast_224	MSTRG.5132
0.91	1.91112641598427	0.82	3.38949508199571	0.917	0.2	Ast_224	MSTRG.17049
0.905	2.59973801498774	0.81	5.51852978721258	0.833	0.046	Ast_224	MSTRG.5953
0.905	1.55118707767929	0.81	2.98753192535965	0.917	0.257	Ast_224	MSTRG.2157
0.904	2.15091698513815	0.808	3.30539946274757	1	0.344	Ast_224	MSTRG.9444
0.899	1.30890757420292	0.798	1.9783866435249	1	0.446	Ast_224	MSTRG.16831
0.899	1.8812436050829	0.798	4.73583343185288	0.833	0.06	Ast_224	MSTRG.10585
0.898	1.01117974821803	0.796	1.55933670061248	1	0.704	Ast_224	MSTRG.16551
0.898	1.04595759843386	0.796	1.78134398072458	1	0.199	Ast_224	MSTRG.13997
0.896	1.69912776006908	0.792	4.11257873563267	0.833	0.095	Ast_224	MSTRG.8296
0.896	1.16391408330543	0.792	2.18464191041711	1	0.284	Ast_224	MSTRG.1794
0.895	2.84326799322194	0.79	5.21618205400494	0.833	0.048	Ast_224	MSTRG.13894
0.892	1.06158110263961	0.784	1.67764190707771	1	0.444	Ast_224	MSTRG.10808
0.888	1.59163853193296	0.776	3.69322799866244	0.833	0.074	Ast_224	MSTRG.8768
0.885	1.29399488428194	0.77	2.19430895985656	1	0.373	Ast_224	MSTRG.8434
0.883	1.39557215266384	0.766	2.12629462589366	1	0.578	Ast_224	MSTRG.24516
0.88	0.859384352602474	0.76	1.52696062504556	1	0.507	Ast_224	MSTRG.4469
0.876	2.08563273474053	0.752	3.86495286722877	0.833	0.129	Ast_224	MSTRG.3352
0.875	1.27657176273001	0.75	1.86460261179054	1	0.469	Ast_224	MSTRG.5641
0.875	1.69462767707707	0.75	3.50534090464014	0.833	0.134	Ast_224	MSTRG.2702
0.873	1.05583226815825	0.746	1.7996553680296	0.917	0.186	Ast_224	MSTRG.6504
0.871	2.16577237083905	0.742	6.94182560937301	0.75	0.013	Ast_224	MSTRG.23470
0.871	1.39078313776529	0.742	2.54047638801964	0.917	0.218	Ast_224	MSTRG.3867
0.865	1.48648727746429	0.73	2.34390714854149	0.917	0.359	Ast_224	MSTRG.1423
0.857	1.3111790769208	0.714	2.20015964723462	0.917	0.317	Ast_224	MSTRG.7787
0.857	1.44985213399876	0.714	2.46278933124402	0.917	0.321	Ast_224	MSTRG.7051
0.85	1.62486079879161	0.7	3.58827807780714	0.75	0.056	Ast_224	MSTRG.4919
0.849	0.860218650873339	0.698	1.41094483443656	1	0.656	Ast_224	MSTRG.1494
0.846	1.18281775559576	0.692	1.79408923609148	1	0.789	Ast_224	MSTRG.860
0.845	1.48818427831485	0.69	3.64751376725212	0.75	0.096	Ast_224	MSTRG.12339
0.845	1.01992808587819	0.69	1.91738341652548	0.917	0.342	Ast_224	MSTRG.9747
0.844	0.770326813198182	0.688	1.14965676882301	1	0.909	Ast_224	MSTRG.22110
0.843	1.39095813371784	0.686	3.39194296858575	0.75	0.094	Ast_224	MSTRG.12645
0.843	1.13733100966299	0.686	2.01182489223984	0.917	0.256	Ast_224	MSTRG.9766
0.841	0.976980550885138	0.682	1.70324784646891	0.917	0.328	Ast_224	MSTRG.14902
0.834	0.844531594346935	0.668	1.44090207861999	1	0.495	Ast_224	MSTRG.16533
0.834	1.36711859299293	0.668	2.5008948524842	0.75	0.111	Ast_224	MSTRG.14862
0.834	1.50868743144265	0.668	3.14834829110244	0.75	0.141	Ast_224	MSTRG.10186
0.833	0.951666375740282	0.666	1.52920712208887	1	0.633	Ast_224	MSTRG.7782
0.833	1.58546247334764	0.666	3.20273538623592	0.75	0.123	Ast_224	MSTRG.5665
0.832	1.03075140899568	0.664	2.13613712119706	0.833	0.239	Ast_224	MSTRG.13606
0.832	2.0971375205856	0.664	3.61043000062137	0.75	0.167	Ast_224	MSTRG.42
0.829	0.988084789660934	0.658	1.8310130123194	0.917	0.333	Ast_224	MSTRG.9244
0.828	2.01507601979335	0.656	3.66729038996311	0.75	0.136	Ast_224	MSTRG.670
0.827	0.917129336044087	0.654	2.72581152657644	0.75	0.096	Ast_224	MSTRG.5062
0.824	1.48176607341917	0.648	3.13079110892653	0.75	0.16	Ast_224	MSTRG.11990
0.822	0.619032377365482	0.644	0.92114371789049	1	0.928	Ast_224	MSTRG.10587
0.821	0.943701503414705	0.642	2.60066220126395	0.75	0.104	Ast_224	MSTRG.6973
0.821	0.926154931634967	0.642	2.4823797594831	0.75	0.104	Ast_224	MSTRG.947
0.818	0.848532690042839	0.636	1.26118555779854	1	0.904	Ast_224	MSTRG.18143
0.816	0.969644137661756	0.632	2.29819505113083	0.75	0.186	Ast_224	MSTRG.7050
0.815	0.593722266082245	0.63	0.875200051077569	1	0.946	Ast_224	MSTRG.8160
0.812	0.518516548654105	0.624	0.774893455814337	1	0.918	Ast_224	MSTRG.9818
0.812	0.655500795464352	0.624	1.0113103457349	1	0.802	Ast_224	MSTRG.2368
0.811	1.41787729667641	0.622	2.59464457635748	0.75	0.19	Ast_224	MSTRG.269
0.809	0.854898544326875	0.618	1.43297626686892	0.917	0.316	Ast_224	MSTRG.7694
0.809	1.22556748553715	0.618	2.12598588007551	0.833	0.315	Ast_224	MSTRG.7286
0.807	0.849370749603791	0.614	1.39045737288497	1	0.6	Ast_224	MSTRG.9686
0.804	0.973850645751244	0.608	2.2350935667845	0.75	0.177	Ast_224	MSTRG.15279
0.804	1.69841156572136	0.608	3.4285508118514	0.667	0.084	Ast_224	MSTRG.11622
0.804	0.735845711834542	0.608	1.10571749809169	1	0.889	Ast_224	MSTRG.8671
0.804	2.2364796269411	0.608	3.60025413106164	0.75	0.173	Ast_224	MSTRG.2591
0.803	1.62220615073857	0.606	4.05298598833821	0.667	0.089	Ast_224	MSTRG.7658
0.802	0.91710347922667	0.604	2.14250794234463	0.75	0.164	Ast_224	MSTRG.11567
0.802	1.41953735179207	0.604	2.19883872105125	1	0.549	Ast_224	MSTRG.5602
0.802	0.600376360368509	0.604	0.886528157115646	1	0.933	Ast_224	MSTRG.4416
0.801	0.610976918822844	0.602	0.906469448923866	1	0.918	Ast_224	MSTRG.12980
0.801	0.59149217727059	0.602	0.87732617237719	1	0.927	Ast_224	MSTRG.5346
0.799	0.605772997588707	0.598	0.889773446755799	1	0.95	Ast_224	MSTRG.6785
0.798	0.944761978392042	0.596	2.28251477404178	0.75	0.174	Ast_224	MSTRG.2039
0.797	0.564042258766381	0.594	0.843854691590419	1	0.906	Ast_224	MSTRG.17923
0.796	0.599923803156247	0.592	0.899628355766092	1	0.896	Ast_224	MSTRG.16405
0.795	0.7546401126076	0.59	1.2319980800686	1	0.414	Ast_224	MSTRG.17211
0.795	0.678148536945996	0.59	1.03689931725573	1	0.865	Ast_224	MSTRG.2667
0.789	0.699347426169973	0.578	1.06466810999266	0.833	0.308	Ast_224	MSTRG.12787
0.789	0.272355547386528	0.578	0.427173258496117	1	0.747	Ast_224	MSTRG.10880
0.789	0.457601190522946	0.578	0.674172565251327	1	0.949	Ast_224	MSTRG.97
0.787	0.602519994111525	0.574	1.04596991349006	0.833	0.243	Ast_224	MSTRG.19101
0.786	0.441230738356123	0.572	0.658013239848568	1	0.921	Ast_224	MSTRG.1345
0.785	0.947486900470456	0.57	2.09937808847578	0.75	0.225	Ast_224	MSTRG.5350
0.785	0.884689614703586	0.57	2.03078656351346	0.75	0.203	Ast_224	MSTRG.886
0.784	1.51999085652421	0.568	2.98145640850702	0.667	0.134	Ast_224	MSTRG.4913
0.783	1.46605502386008	0.566	2.9967512010972	0.667	0.135	Ast_224	MSTRG.17185
0.783	0.771230689278473	0.566	1.20705469027231	1	0.581	Ast_224	MSTRG.16669
0.783	0.767131329326287	0.566	2.34034206985921	0.667	0.093	Ast_224	MSTRG.6367
0.783	0.931434464691547	0.566	1.81677861401978	0.75	0.211	Ast_224	MSTRG.3746
0.783	0.988137803803169	0.566	1.80057078870938	0.833	0.383	Ast_224	MSTRG.1743
0.782	0.439971328879056	0.564	0.653925167777987	1	0.935	Ast_224	MSTRG.15273
0.782	1.41246659603939	0.564	4.90409882013598	0.583	0.023	Ast_224	MSTRG.7979
0.781	1.17278293943138	0.562	2.82665828990837	0.667	0.138	Ast_224	MSTRG.5044
0.78	0.754394291150143	0.56	1.21408256838327	1	0.503	Ast_224	MSTRG.1166
0.775	0.333506629762526	0.55	0.488926327738078	1	0.951	Ast_224	MSTRG.9642
0.773	1.18401003766448	0.546	3.92038532454792	0.583	0.043	Ast_224	MSTRG.17302
0.773	0.383409301947816	0.546	0.568304227274582	1	0.931	Ast_224	MSTRG.11102
0.773	0.402696842891729	0.546	0.602947061829272	1	0.797	Ast_224	MSTRG.9500
0.773	1.20191799237035	0.546	3.80494821129109	0.583	0.051	Ast_224	MSTRG.8374
0.773	0.982501691648484	0.546	1.45086880210065	0.833	0.344	Ast_224	MSTRG.3766
0.772	1.19122315868606	0.544	2.14578276751801	0.833	0.398	Ast_224	MSTRG.9356
0.771	0.802638159565676	0.542	3.17927095127634	0.583	0.044	Ast_224	MSTRG.9576
0.77	1.12648434277861	0.54	2.08647600037799	0.75	0.225	Ast_224	MSTRG.6121
0.77	0.583518880908837	0.54	0.990887429080385	0.917	0.393	Ast_224	MSTRG.49
0.769	0.879287902582231	0.538	1.96743558125885	0.75	0.213	Ast_224	MSTRG.11437
0.769	1.85344049699595	0.538	3.39393872917261	0.667	0.152	Ast_224	MSTRG.8266
0.769	1.15291763955406	0.538	1.77810526009048	0.75	0.233	Ast_224	MSTRG.3767
0.767	0.515254723674798	0.534	0.759615455506204	1	0.948	Ast_224	MSTRG.14397
0.767	1.10455639501254	0.534	2.335876398615	0.667	0.186	Ast_224	MSTRG.296
0.765	0.741956749397477	0.53	1.40746957922217	0.833	0.42	Ast_224	MSTRG.20576
0.765	1.49789355270279	0.53	4.08058430845679	0.583	0.063	Ast_224	MSTRG.8793
0.764	0.902948674754469	0.528	1.85816185846311	0.75	0.273	Ast_224	MSTRG.12061
0.762	0.581450038560765	0.524	0.87002886309091	1	0.864	Ast_224	MSTRG.17473
0.762	0.705038661788193	0.524	1.40186800892956	0.833	0.364	Ast_224	MSTRG.4681
0.759	0.870523019398585	0.518	1.50599901177973	0.833	0.314	Ast_224	MSTRG.11956
0.758	0.394606450154007	0.516	0.583770586477399	1	0.951	Ast_224	MSTRG.19999
0.758	1.28097958530491	0.516	3.23842438527542	0.583	0.096	Ast_224	MSTRG.6065
0.758	0.759007240118785	0.516	1.29756563035099	0.833	0.442	Ast_224	MSTRG.5566
0.758	1.14595639759092	0.516	2.02951520039696	0.75	0.387	Ast_224	MSTRG.4195
0.758	1.14246475235291	0.516	3.10392092624442	0.583	0.092	Ast_224	MSTRG.3671
0.757	0.414064158232601	0.514	0.612056258530148	1	0.944	Ast_224	MSTRG.6439
0.756	0.435053803733272	0.512	0.654992145186419	1	0.891	Ast_224	MSTRG.951
0.755	0.558674305987623	0.51	0.820588902633773	1	0.955	Ast_224	MSTRG.20008
0.754	0.546605911971305	0.508	1.10860877224989	0.917	0.4	Ast_224	MSTRG.18300
0.754	0.761436761993002	0.508	1.47197036730163	0.833	0.376	Ast_224	MSTRG.3294
0.754	1.12998884510856	0.508	3.20350446646505	0.583	0.075	Ast_224	MSTRG.2777
0.752	0.509643963912528	0.504	0.895163133942642	0.833	0.505	Ast_224	MSTRG.15633
0.752	1.17610725332297	0.504	3.19201592322701	0.583	0.091	Ast_224	MSTRG.12367
0.752	0.987510663680221	0.504	1.97186076498377	0.75	0.244	Ast_224	MSTRG.8534
0.751	0.496650076742121	0.502	0.736880498056724	1	0.911	Ast_224	MSTRG.25838
0.751	0.445612714269499	0.502	0.961505691487567	0.833	0.327	Ast_224	MSTRG.10638
0.75	0.626019708919101	0.5	1.35108993825023	0.75	0.316	Ast_224	MSTRG.20344
0.75	1.3293736548277	0.5	3.38257891911056	0.583	0.089	Ast_224	MSTRG.6372
0.749	0.60881903482187	0.498	1.16314371828195	0.833	0.444	Ast_224	MSTRG.11709
0.749	0.777071411818236	0.498	1.82620411343848	0.667	0.216	Ast_224	MSTRG.5041
0.749	0.889479868107767	0.498	1.77241394857431	0.667	0.153	Ast_224	MSTRG.2306
0.748	0.697029616147796	0.496	2.09075178794909	0.583	0.068	Ast_224	MSTRG.9047
0.747	0.86990284400864	0.494	1.8771978538695	0.667	0.227	Ast_224	MSTRG.17338
0.745	0.588019654881703	0.49	1.00593982813546	0.833	0.465	Ast_224	MSTRG.9562
0.745	1.20912522545703	0.49	2.50232470326515	0.583	0.098	Ast_224	MSTRG.6897
0.744	0.432057844429849	0.488	0.667517480956785	1	0.7	Ast_224	MSTRG.19704
0.744	1.33928865494726	0.488	5.57058267617981	0.5	0.012	Ast_224	MSTRG.8408
0.743	0.99980724069607	0.486	2.42272148546638	0.583	0.149	Ast_224	MSTRG.7941
0.743	0.736795734263199	0.486	1.79910204833426	0.583	0.091	Ast_224	MSTRG.5957
0.742	0.499769756423679	0.484	0.770752510984541	1	0.821	Ast_224	MSTRG.18693
0.742	0.861584775813629	0.484	1.65274642870387	0.667	0.192	Ast_224	MSTRG.8685
0.741	0.358236672103385	0.482	0.536432451040969	1	0.93	Ast_224	MSTRG.6207
0.74	0.710860870575905	0.48	1.8482381963738	0.583	0.103	Ast_224	MSTRG.13538
0.74	0.710679031499591	0.48	1.34673458472622	0.75	0.294	Ast_224	MSTRG.827
0.74	0.534421892283333	0.48	0.814461603848355	1	0.874	Ast_224	MSTRG.407
0.737	1.04216897920375	0.474	2.38119996264484	0.583	0.117	Ast_224	MSTRG.14693
0.737	0.948555681011914	0.474	1.86669905120199	0.667	0.196	Ast_224	MSTRG.6715
0.736	0.676047515112911	0.472	1.45629808885742	0.667	0.23	Ast_224	MSTRG.17038
0.736	0.845726659160231	0.472	1.96099174659372	0.667	0.207	Ast_224	MSTRG.3802
0.736	1.13152285756298	0.472	4.24075946445779	0.5	0.036	Ast_224	MSTRG.2642
0.733	0.443870367162856	0.466	0.678869440168664	0.917	0.84	Ast_224	MSTRG.21612
0.733	1.23865725066939	0.466	1.8902925852812	0.917	0.72	Ast_224	MSTRG.1388
0.731	0.684527480311936	0.462	1.15968085655162	0.917	0.622	Ast_224	MSTRG.11489
0.731	0.769734713350543	0.462	1.46116560953199	0.667	0.206	Ast_224	MSTRG.8992
0.73	0.899235619892175	0.46	2.05726965767555	0.583	0.129	Ast_224	MSTRG.14345
0.73	0.7934450235261	0.46	1.3893072907459	0.833	0.522	Ast_224	MSTRG.2686
0.73	1.22602424448866	0.46	3.88433888040579	0.5	0.041	Ast_224	MSTRG.1906
0.73	1.00030465182431	0.46	1.8044036024436	0.667	0.252	Ast_224	MSTRG.1566
0.729	0.304612116311946	0.458	0.710799663564648	0.667	0.165	Ast_224	MSTRG.11221
0.728	0.369040750150953	0.456	0.548851774320206	1	0.93	Ast_224	MSTRG.7389
0.727	0.846597058504316	0.454	3.2905467461789	0.5	0.049	Ast_224	MSTRG.19962
0.727	0.490234438978562	0.454	0.722595817317147	1	0.945	Ast_224	MSTRG.11307
0.727	0.621624560632127	0.454	1.8175285844196	0.583	0.124	Ast_224	MSTRG.99
0.726	0.898469063206848	0.452	1.74958833504588	0.667	0.258	Ast_224	MSTRG.11424
0.726	1.00493351025178	0.452	1.56364952715941	0.583	0.127	Ast_224	MSTRG.7334
0.726	0.36569178498807	0.452	0.650666842954808	0.833	0.449	Ast_224	MSTRG.6300
0.723	0.421519760979996	0.446	0.94727430311729	0.75	0.26	Ast_224	MSTRG.8965
0.723	0.551796878195284	0.446	0.881984557421798	0.833	0.553	Ast_224	MSTRG.5693
0.723	0.279121634796744	0.446	0.420748837201239	1	0.903	Ast_224	MSTRG.806
0.722	0.933228040012046	0.444	2.83567014232822	0.5	0.058	Ast_224	MSTRG.265
0.721	0.343740779589046	0.442	0.803442522757522	0.667	0.198	Ast_224	MSTRG.14682
0.721	0.508963166227907	0.442	1.07903233025267	0.75	0.346	Ast_224	MSTRG.6652
0.721	0.751809845745549	0.442	2.70159692055446	0.5	0.053	Ast_224	MSTRG.3573
0.721	0.717929019439465	0.442	2.59979224948122	0.5	0.061	Ast_224	MSTRG.3521
0.721	0.289440977270182	0.442	0.429796453025694	1	0.939	Ast_224	MSTRG.2002
0.72	0.923575412404402	0.44	1.73232309058084	0.667	0.296	Ast_224	MSTRG.3478
0.719	0.654801774734723	0.438	1.81078728293038	0.583	0.153	Ast_224	MSTRG.18463
0.718	0.454200236628848	0.436	0.716629225008919	1	0.786	Ast_224	MSTRG.18152
0.717	0.680917296712146	0.434	1.31034318306809	0.583	0.151	Ast_224	MSTRG.14312
0.717	0.739227540997957	0.434	2.17440995831784	0.5	0.06	Ast_224	MSTRG.11114
0.717	0.762860106761518	0.434	2.69566305914829	0.5	0.067	Ast_224	MSTRG.10760
0.716	0.747766732013658	0.432	1.51013896918811	0.667	0.284	Ast_224	MSTRG.141
0.715	0.279147214639292	0.43	0.475945434756035	0.667	0.214	Ast_224	MSTRG.12405
0.715	0.865661393690731	0.43	2.74005846493134	0.5	0.089	Ast_224	MSTRG.8297
0.715	0.702105617568384	0.43	2.62727104075089	0.5	0.072	Ast_224	MSTRG.5692
0.714	0.853569242426274	0.428	2.86146801071532	0.5	0.082	Ast_224	MSTRG.21132
0.714	0.787267577692001	0.428	1.35664461073253	0.833	0.532	Ast_224	MSTRG.7980
0.712	0.744742491735438	0.424	2.39256400183127	0.5	0.065	Ast_224	MSTRG.1506
0.712	0.740183774023178	0.424	1.26414076491702	0.833	0.527	Ast_224	MSTRG.1417
0.711	0.516794913301423	0.422	1.12125645804432	0.667	0.237	Ast_224	MSTRG.6762
0.711	0.352971029018111	0.422	0.515314247517508	1	0.849	Ast_224	MSTRG.1505
0.71	0.487511825133106	0.42	0.798772397230013	0.917	0.606	Ast_224	MSTRG.19794
0.71	0.428407461912256	0.42	0.754054595782519	0.917	0.63	Ast_224	MSTRG.16536
0.709	0.621569365751336	0.418	1.35454268959893	0.667	0.312	Ast_224	MSTRG.19208
0.709	2.70119785189694	0.418	4.66211294856242	0.5	0.107	Ast_224	MSTRG.3733
0.708	0.828005651067863	0.416	2.46774242954998	0.5	0.099	Ast_224	MSTRG.26337
0.708	0.749379539831074	0.416	1.80976062213368	0.583	0.182	Ast_224	MSTRG.14891
0.707	0.897297391829544	0.414	2.50621637193993	0.5	0.098	Ast_224	MSTRG.10699
0.707	0.60557249528833	0.414	1.09037275200885	0.5	0.077	Ast_224	MSTRG.1234
0.706	0.646502477398578	0.412	1.24135684395278	0.75	0.321	Ast_224	MSTRG.14716
0.706	0.530561037122004	0.412	1.55378554741535	0.583	0.161	Ast_224	MSTRG.7990
0.705	0.557482187413758	0.41	1.0995268329114	0.667	0.254	Ast_224	MSTRG.14062
0.705	0.660572823032673	0.41	1.41949957247197	0.667	0.262	Ast_224	MSTRG.8937
0.705	0.831837544685075	0.41	1.63231702894055	0.667	0.353	Ast_224	MSTRG.5688
0.705	0.506867046711927	0.41	1.20740791028816	0.667	0.26	Ast_224	MSTRG.3081
0.705	0.513886413450413	0.41	1.18916353745932	0.583	0.174	Ast_224	MSTRG.1444
0.705	0.576376820877617	0.41	1.43842729101451	0.583	0.182	Ast_224	MSTRG.669
0.704	0.611901425386195	0.408	1.0965870795502	0.833	0.543	Ast_224	MSTRG.6579
0.703	0.761020116042578	0.406	2.4437771272747	0.5	0.084	Ast_224	MSTRG.20119
0.702	1.32967447501321	0.404	5.00621316319643	0.417	0.012	Ast_224	MSTRG.19793
0.702	0.405581760198368	0.404	0.754930970583938	0.833	0.544	Ast_224	MSTRG.18986
0.702	0.386150280192496	0.404	0.633293007622772	0.917	0.665	Ast_224	MSTRG.4414
0.701	1.12089068170588	0.402	4.80258842907156	0.417	0.019	Ast_224	MSTRG.19218
0.701	0.413032018258034	0.402	0.740509990012864	0.917	0.598	Ast_224	MSTRG.12833
0.701	1.46941724307119	0.402	3.58113245410914	0.5	0.108	Ast_224	MSTRG.2150
0.701	0.440264291605839	0.402	0.861172205872169	0.75	0.466	Ast_224	MSTRG.1848
0.995	3.94056225273636	0.99	6.51058800358343	1	0.093	Ast_231	MSTRG.6607
0.995	3.62530486952295	0.99	6.22071581602562	1	0.102	Ast_231	MSTRG.3733
0.969	2.33729821687649	0.938	3.95508035870484	1	0.113	Ast_231	MSTRG.5132
0.944	1.93962855059927	0.888	2.88755762829091	1	0.543	Ast_231	MSTRG.17906
0.942	2.2467812344163	0.884	5.58848504275699	0.9	0.042	Ast_231	MSTRG.2640
0.937	1.85171137762073	0.874	4.90214579380515	0.9	0.033	Ast_231	MSTRG.8498
0.932	3.45833381112914	0.864	5.3925671086746	0.9	0.097	Ast_231	MSTRG.9505
0.925	3.32970770187014	0.85	5.27959586971375	0.9	0.073	Ast_231	MSTRG.1234
0.92	2.25850626301871	0.84	3.84252450754504	0.9	0.156	Ast_231	MSTRG.12684
0.92	1.95152743821159	0.84	3.47596294834068	0.9	0.091	Ast_231	MSTRG.871
0.919	1.66618184466565	0.838	2.48909688427503	1	0.305	Ast_231	MSTRG.12787
0.915	1.75028630832135	0.83	3.48252155007782	0.9	0.121	Ast_231	MSTRG.5665
0.905	1.50891797699262	0.81	2.96864887576073	0.9	0.131	Ast_231	MSTRG.4913
0.903	1.64252163113732	0.806	2.49058394126732	1	0.577	Ast_231	MSTRG.24516
0.9	1.40989303236565	0.8	2.20777919141183	1	0.343	Ast_231	MSTRG.9444
0.889	1.59768909881359	0.778	2.51893676124116	0.9	0.149	Ast_231	MSTRG.12744
0.882	1.2783648227862	0.764	2.14405464884546	0.9	0.184	Ast_231	MSTRG.6504
0.875	0.939574984242445	0.75	1.61064953093408	0.95	0.197	Ast_231	MSTRG.13997
0.873	2.10373469837672	0.746	3.52264507145732	0.85	0.25	Ast_231	MSTRG.1566
0.872	2.20959919277435	0.744	3.58845297324152	0.85	0.224	Ast_231	MSTRG.10613
0.868	1.4409606233991	0.736	2.15534809887815	0.95	0.385	Ast_231	MSTRG.5648
0.868	1.56758641212686	0.736	2.59505855127222	0.9	0.17	Ast_231	MSTRG.2591
0.865	0.8492628555134	0.73	1.25653481444613	0.95	0.305	Ast_231	MSTRG.17304
0.863	1.56152949756091	0.726	2.40453316276345	0.95	0.361	Ast_231	MSTRG.3768
0.859	1.31242040109208	0.718	2.76503032888793	0.85	0.185	Ast_231	MSTRG.3344
0.859	1.45401535240424	0.718	2.54396463966113	0.9	0.292	Ast_231	MSTRG.827
0.858	1.21763724641279	0.716	1.89934075625227	0.95	0.411	Ast_231	MSTRG.12379
0.855	2.21752252907461	0.71	4.25581487984212	0.75	0.046	Ast_231	MSTRG.13894
0.851	1.18831949460205	0.702	3.06225110143024	0.8	0.102	Ast_231	MSTRG.6973
0.846	1.80598204403634	0.692	3.76490320186946	0.75	0.073	Ast_231	MSTRG.20475
0.846	1.19934015554986	0.692	2.45432431671388	0.85	0.213	Ast_231	MSTRG.12430
0.846	1.39195417012202	0.692	2.75470277921938	0.85	0.211	Ast_231	MSTRG.12353
0.842	1.4954048180302	0.684	3.5447170041685	0.75	0.072	Ast_231	MSTRG.8768
0.842	1.9630916577291	0.684	5.58573894752916	0.7	0.021	Ast_231	MSTRG.6574
0.842	0.912084220899586	0.684	1.69434483478628	0.85	0.14	Ast_231	MSTRG.1897
0.841	1.04408667287205	0.682	2.20328960524873	0.8	0.104	Ast_231	MSTRG.2210
0.84	1.18100402874661	0.68	1.92968941038979	0.9	0.327	Ast_231	MSTRG.9291
0.84	0.849771751716125	0.68	1.35311214239665	1	0.682	Ast_231	MSTRG.4594
0.838	0.818694004854033	0.676	1.25229618155324	1	0.788	Ast_231	MSTRG.860
0.837	1.68991890961562	0.674	2.57336848498196	0.85	0.231	Ast_231	MSTRG.3767
0.836	2.28037449155495	0.672	3.43273900636651	0.85	0.296	Ast_231	MSTRG.19521
0.829	0.217670910226867	0.658	0.340435043779235	1	0.385	Ast_231	MSTRG.22908
0.827	0.996946701201088	0.654	1.92944868534578	0.85	0.199	Ast_231	MSTRG.17049
0.827	1.53734125540143	0.654	2.79527344920232	0.8	0.188	Ast_231	MSTRG.15016
0.821	1.28918058563349	0.642	1.93108000697896	0.95	0.349	Ast_231	MSTRG.10780
0.818	0.791534570322639	0.636	1.38320977848217	1	0.541	Ast_231	MSTRG.6579
0.818	1.61559530093375	0.636	2.37281861822885	0.85	0.343	Ast_231	MSTRG.3766
0.817	1.0946831517517	0.634	2.05148800278413	0.8	0.226	Ast_231	MSTRG.4531
0.815	0.959323615979631	0.63	1.40364407840703	1	0.955	Ast_231	MSTRG.20008
0.815	2.07580801305562	0.63	4.02226567052678	0.7	0.089	Ast_231	MSTRG.7725
0.814	0.880210122511704	0.628	1.74990395910118	0.8	0.15	Ast_231	MSTRG.2306
0.812	0.952668318467185	0.624	1.41983501412688	1	0.706	Ast_231	MSTRG.1966
0.809	1.47562773964983	0.618	3.82001676988564	0.65	0.03	Ast_231	MSTRG.5737
0.809	1.07025338736348	0.618	2.34480637345708	0.75	0.18	Ast_231	MSTRG.669
0.808	0.467035921988914	0.616	0.713389281837582	0.95	0.59	Ast_231	MSTRG.22094
0.807	1.06221796179874	0.614	1.85531934261432	0.85	0.319	Ast_231	MSTRG.7051
0.8	0.147705009047335	0.6	0.244660093585611	0.75	0.124	Ast_231	MSTRG.7334
0.799	1.57640338128681	0.598	3.86766545084096	0.65	0.086	Ast_231	MSTRG.13258
0.799	1.00393747755578	0.598	2.42474891228321	0.7	0.097	Ast_231	MSTRG.2747
0.798	2.06736343142617	0.596	6.98767973740919	0.6	0.005	Ast_231	MSTRG.5324
0.797	1.67760001137861	0.594	3.84557602200426	0.65	0.089	Ast_231	MSTRG.1570
0.796	0.795480933703017	0.592	1.48548450650166	0.85	0.319	Ast_231	MSTRG.14716
0.796	1.47713083773272	0.592	6.02702555192893	0.6	0.008	Ast_231	MSTRG.4130
0.794	0.869460740775305	0.588	1.67117822430704	0.8	0.214	Ast_231	MSTRG.8603
0.791	0.874042423226332	0.582	1.59331867143938	0.8	0.268	Ast_231	MSTRG.11499
0.789	0.803304458184103	0.578	1.66006697722069	0.8	0.277	Ast_231	MSTRG.4145
0.788	0.633756810606453	0.576	1.10454791469806	1	0.53	Ast_231	MSTRG.7980
0.788	0.541267355753918	0.576	0.895497263258425	0.9	0.357	Ast_231	MSTRG.1423
0.787	0.890262621291611	0.574	1.54941897068037	0.9	0.342	Ast_231	MSTRG.12733
